Título_Título,Desenvolvedor_Desenvolvedor,Lanç. Original_Lanç. Original,Lançamento_Lançamento,Tamanho Arquivo_Tamanho Arquivo,Ref._Ref.
Rygar,Tecmo,1986,13/Set/2018,82 MB,[3321]
Saint Dragon,Jaleco,1989,06/Fev/2020,76 MB,[3322]
Sasuke vs Commander,Jaleco,1980,13/Fev/2020,67 MB,[3323]
Scramble,Konami,1981,26/Set/2019,64 MB,[3324]
Shanghai III,Sunsoft,1993,31/Dez/2020,92 MB,[3325]
Shusse Ozumo,Technōs Japan,1984,11/Jul/2019,70 MB,[3326]
Sky Skipper,Nintendo,1981,20/Jul/2018,64 MB,[3327]
Soccer,Nintendo,1985,23/Out/2020,37 MB,[3328]
Solomon’s Key,Tecmo,1986,06/Jun/2019,85 MB,[3329]
Star Force,Tecmo,1984,01/Mar/2018,73 MB,[3330]
Sunset Riders,Konami,1991,11/Jun/2020,87 MB,[3331]
Super Cobra,Konami,1981,15/Out/2020,38 MB,[3332]
Super Dodge Ball,Technos Japan,1987,27/Ago/2020,75 MB,[3333]
Super Punch-Out,Nintendo,1984,14/Ago/2020,38 MB,[3334]
Tecmo Bowl,Tecmo,1987,30/Jan/2020,88 MB,[3335]
Terra Cresta,Nichibutsu,1985,10/Mai/2018,95 MB,[3336]
Terra Force,Nichibutsu,1987,02/Mai/2019,82 MB,[3337]
The Fairyland Story,Taito,1985,03/Dez/2020,40 MB,[3338]
The Legend of Kage,Taito,1985,10/Out/2019,74 MB,[3339]
The Ninja Warriors,Taito,1987,18/Jul/2019,81 MB,[3340]
The Tin Star,Taito,1983,02/Abr/2020,76 MB,[3341]
Thunder Cross,Konami,1988,11/Fev/2021,82 MB,[3342]
Time Pilot,Konami,1982,11/Abr/2019,ND,[3343]
Time Tunnel,Taito,1982,19/Set/2019,74 MB,[3344]
TNK III,SNK,1985,07/Nov/2019,80 MB,[3345]
Track & Field,Konami,1983,12/Set/2019,93 MB,[3346]
Traverse USA,Irem,1983,30/Nov/2017,78 MB,[3347]
Tube Panic,Nichibutsu,1984,23/Abr/2020,75 MB,[3348]
TwinBee,Konami,1985,05/Dez/2019,72 MB,[3349]
Urban Champion,Nintendo,1984,09/Nov/2018,71 MB,[3350]
Victory Road,SNK,1986,01/Ago/2019,85 MB,[3351]
Vigilante,Irem,1988,05/Set/2019,76 MB,[3352]
Vs. Balloon Fight,Nintendo,1984,27/Dez/2019,36 MB,[3353]
Vs. Baseball,Nintendo,1984,19/Jun/2020,37 MB,[3354]
Vs. Castlevania,Konami,1987,17/Out/2019,69 MB,[3355]
Vs. Gradius,Konami,1986,15/Ago/2019,66 MB,[3356]
Vs. Mah-Jong,Nintendo,1984,21/Fev/2020,38 MB,[3357]
Vs. Super Mario Bros.,Nintendo,1986,22/Dez/2017,92 MB,[3358]
Vs. Tennis,Nintendo,1984,18/Dez/2020,39 MB,[3359]
Vs. Wrecking Crew,Nintendo,1984,01/Mai/2020,38 MB,[3360]
Water Ski,Taito,1983,22/Ago/2019,67 MB,[3361]
Wild Western,Taito,1982,20/Jun/2019,70 MB,[3362]
Wiz,Seibu Kaihatsu,1985,25/Jun/2020,76 MB,[3363]
X Multiply,Irem,1989,08/Ago/2019,80 MB,[3364]
XX Mission,UPL,1986,23/Jan/2020,77 MB,[3365]
Yie Ar Kung-Fu,Konami,1985,14/Nov/2019,71 MB,[3366]
Zero Team,Seibu Kaihatsu,1993,19/Nov/2020,83 MB,[3367]
