Título_Título,Desenvolvedor_Desenvolvedor,Publicadora_Publicadora,Lançamento_Lançamento,Obs._Obs.,Ref._Ref.
Payday 2,Overkill Software - A Starbreeze Studio,Starbreeze AB,27/Fev/2018,,[1348]
PC Building Simulator,The Irregular Corporation,IrregularCorpor.,13/Ago/2019,,[1349]
"Peace, Death! Complete Edition",Azamatika,HypeTrain Digital,14/Dez/2018,,[1350]
Peasant Knight,Ratalaika Games / 4AM Games,Ratalaika Games,22/Mar/2019,,[1351]
Pelican and Medjed,Hayakawakoji,PLiCy,01/Ago/2019,,[1352]
Penguin Wars,City Connection,Dispatch Games,27/Jun/2019,,[1353]
Penny-Punching Princess,Nippon Ichi Software,NIS America,03/Abr/2018,,[1354]
Perception,The Deep End Games,The Deep End Games,31/Out/2017,,[1355]
Perchang,Chilled Mouse,Chilled Mouse,04/Jun/2019,,[1356]
Percy's Predicament Deluxe,Maestro Interactive,Maestro Interactive,07/Fev/2019,,[1357]
Perfect Angle,Ivanovich Games,Ivanovich Games,03/Mai/2018,,[1358]
Perry Pig Jump,EntwicklerX,EntwicklerX,24/Jan/2019,,[1359]
Persian Nights: Sands of Wonders,Sodigital,Artifex Mundi,17/Ago/2018,,[1360]
Pet Care,Baked Games,Ultimate Games,14/Fev/2019,,[1361]
Phantaruk,Polyslash,Forever Entertainment,30/Ago/2018,,[1362]
Phantom Breaker: Battle Grounds Overdrive,Mages. Inc.,Mages.,07/Dez/2017,,[1363]
Phantom Doctrine,Forever Entertainment,Forever Entertainment,06/Jun/2019,,[1364]
Phantom Trigger,Bread Team,tinyBuild Games,10/Ago/2017,,[1365]
Phoenix Wright: Ace Attorney Trilogy,Capcom,Capcom,09/Abr/2019,,[1366]
Photon Cube,Smileaxe,Smileaxe,28/Jun/2018,,[1367]
Physical Contact: 2048,Collavier,Collavier Corporation,07/Set/2017,,[1368]
Physical Contact: Picture Place,Collavier,Collavier Corporation,28/Set/2017,,[1369]
Physical Contact: Speed,Collavier,Collavier Corporation,27/Jul/2017,,[1370]
Pianista,Superb Corp.,Superb,25/Out/2018,,[1371]
Pic-a-Pix Deluxe,Lightwood Games,Lightwood Games,04/Jan/2018,,[1372]
Pic-a-Pix Pieces,Lightwood Games,Lightwood Games,03/Jan/2019,,[1373]
Pico Park,TecoPark,TecoPark,08/Jun/2019,,[1374]
Picross Lord of the Nazarick,Jupiter,Jupiter,25/Jul/2019,,[1375]
Picross S,Jupiter Corporation,Jupiter Corporation,28/Set/2017,,[1376]
Picross S2,Jupiter Corporation,Jupiter Corporation,02/Ago/2018,,[1377]
Picross S3,Jupiter,Jupiter,25/Abr/2019,,[1378]
PictoQuest,NanoPiko,Plug In Digital,08/Ago/2019,,[1379]
Picture Painting Puzzle 1000!,Success,Success,08/Nov/2018,,[1380]
Piczle Colors,Score Studios,Rainy Frog,31/Jan/2019,,[1381]
Piczle Lines DX,Score Studios,Rainy Frog,24/Ago/2017,,[1382]
Piczle Lines DX 500 More Puzzles!,Score Studios,Rainy Frog,26/Jul/2018,,[1383]
Pikuniku,Sectordub,Devolver Digital,24/Jan/2019,,[1384]
Pillar,Michael Hicks,Michael Hicks,05/Mar/2019,,[1385]
Pillars of Eternity: Complete Edition,Obsidian Entertainment,Versus Evil,08/Ago/2019,,[1386]
Pilot Sports,Z-Software GmbH,EuroVideo Medien,27/Set/2018,,[1387]
Pix the Cat,PLAYDIGIOUS,PLAYDIGIOUS,08/Ago/2019,,[1388]
Prime World: Defenders,Nival,Nival,23/Mai/2019,F2P,[1389]
