Título_Título,Desenvolvedor_Desenvolvedor,Publicadora_Publicadora,Lançamento_Lançamento,Obs._Obs.,Ref._Ref.
#BreakforcistBattle,Lucid Sheep Games,Lucid Sheep Games,12/Abr/2018,,[3]
#KillAllZombies,,Beatshapers,24/Jan/2019,,[4]
#RaceDieRun,,QubicGames,09/Ago/2019,,[5]
'n Verlore Verstand,Skobbejak Games (PTY.) LTD.,Skobbejak Games,07/Dez/2018,,[6]
1-2-Switch,Nintendo EPD,Nintendo,03/Mar/2017,BR,[7]
10 Second Run Returns,Blue Print,Blue Print,25/Jan/2018,,[8]
1001 Ultimate Mahjong 2,Nawia Games,Nawia Games,25/Out/2018,,[9]
12 is Better Than 6,Ink Stains Games,Hypetrain Digital,05/Mar/2019,,[10]
12 Labours of Hercules,JetDogs / Zoom Out Games,JetDogs,24/Mar/2019,,[11]
12 Orbits,Roman Uhlig,Roman Uhlig,27/Abr/2018,,[12]
1917 - The Alien Invasion DX,Andrade Games,Korion,14/Jun/2018,,[13]
1979 Revolution: Black Friday,Ink Stories,Digerati,02/Ago/2018,,[14]
2064: Read Only Memories Integral,MidBoss,MidBoss,14/Ago/2018,,[15]
20XX,Batterystaple Games,Batterystaple Games,10/Jul/2018,,[16]
3 Little Pigs & Bad Wolf,,MAKING,10/Jul/2019,,[17]
30-in-1 Game Collection,Digital Bards,Digital Bards,30/Mai/2019,,[18]
36 Fragments of Midnight,Ratalaika Games / Petite Games,Ratalaika Games,14/Set/2017,,[19]
39 Days to Mars,Its Anecdotal,Its Anecdotal,16/Mai/2019,,[20]
3D Billiards - Pool & Snooker,Joindots,Joindots,29/Nov/2018,,[21]
3D MiniGolf,Joindots,Joindots,01/Fev/2018,,[22]
60 Seconds!,Robot Gentleman,Robot Gentleman,18/Dez/2017,,[23]
6180 The Moon,Turtle Cream / PokPoong Games,Turtle Cream,24/Mai/2018,,[24]
7 Billion Humans,Tomorrow Corporation,Tomorrow Corporation,25/Out/2018,,[25]
88 Heroes - 98 Heroes Edition,Bitmap Bureau,Rising Star Games,12/Out/2017,,[26]
911 Operator,Jutsu Games,Sonka,26/Out/2018,,[27]
99Moves,EnjoyUp Games,EnjoyUp Games,08/Fev/2019,,[28]
99Seconds,EnjoyUp Games,EnjoyUp Games,04/Jan/2019,,[29]
99Vidas - Definitive Edition,QUByte Interactive,QUByte Interactive,27/Nov/2018,,[30]
A Case of Distrust,,Serenity Forge,20/Set/2018,,[31]
A Ch'ti Bundle,Seaven Studio,Seaven Studio,10/Jan/2019,,[32]
A Dark Room,Amirali Rajan,Circle Ent.,12/Abr/2019,,[33]
A Duel Hand Disaster: Trackher,AskAnEnemyStudios,AskAnEnemyStudios,10/Jun/2019,,[34]
A Gummy's Life,EP Games,EP Games,25/Set/2018,,[35]
A Hole New World,Mad Gear Games,Dolores Entertainment S.L.,01/Mar/2018,,[36]
A Magical High School Girl,illuCallab,Sekai Games,07/Jun/2018,,[37]
A Normal Lost Phone,Seaven Studio,Plug In Digital,01/Mar/2018,,[38]
A Robot Named Fight,Matt Bitner Games,Hitcents,26/Abr/2018,,[39]
Aaero: Complete Edition,,S2 Entertainment,24/Dez/2018,,[40]
Abyss,EnjoyUp Games,EnjoyUp Games,25/Dez/2018,,[41]
ABZÛ,,505 Games,29/Nov/2018,,[42]
Access Denied,Stately Snail,Ratalaika Games,08/Fev/2019,,[43]
Ace of Seafood,Nussoft,Onuki Masafumi,22/Fev/2018,,[44]
Aces of the Luftwaffe - Squadron,Handy Games,Handy Games,17/Nov/2017,,[45]
Achtung! Cthulhu Tactics,Auroch Digital,Ripstone,24/Jan/2019,,[46]
ACORN Tactics,TACS Games,TACS Games,07/Dez/2017,,[47]
Active Soccer 2019,The Fox Software,Gianluca Troiano,19/Abr/2019,,[48]
Adrenaline Rush - Miami Drive,,Cool Small Games,12/Jul/2019,,[49]
Adventure Time: Pirates of the Enchiridion,Climax Studios,Outright Games,17/Jun/2018,,[50]
"Adventures of Bertram Fiddle Episode 1: A Dreadly Business, The",Rumpus Animation,Chorus Worldwide Games,29/Mar/2018,,[51]
Adventures of Bertram Fiddle Episode 2: A Bleaker Predicklement,Rumpus Animation,Chorus Worldwide Games,22/Nov/2018,,[52]
Aegis Defenders,GUTS Department,Humble Bundle,08/Fev/2018,,[53]
AER Memories of Old,Daedalic Entertainment,Daedalic GmbH,28/Ago/2019,,[54]
AeternoBlade,Corecell Technology,Corecell Technology,01/Fev/2018,,[55]
Agartha-S,,mebius.,31/Jan/2019,,[56]
Agatha Knife,Mango Protocol,Mango Protocol,26/Abr/2018,,[57]
Agent A: A Puzzle in Disguise,YAK,YAK,29/Ago/2019,,[58]
Ages of Mages: The Last Keeper,YFC games,YFC games,30/Mai/2019,,[59]
Air Conflicts: Pacific Carriers,Games Farm s.r.o.,KalypsoMediaGroup,26/Mar/2019,,[60]
Air Conflicts: Secret Wars,Games Farm s.r.o.,KalypsoMediaGroup,26/Mar/2019,,[61]
Air Hockey,Sabec,Sabec,28/Fev/2018,,[62]
Air Mail,N-Fusion Interactive,N-Fusion,26/Jun/2018,,[63]
Airfield Mania,,Sprakelsoft,27/Mar/2019,,[64]
Airheart - Tales of broken Wings,Blindflug Studios,Blindflug Studios,31/Jan/2019,,[65]
Akane,Ludic Studios,QubicGames,17/Mai/2019,,[66]
Akihabara - Feel the Rhythm Remixed,JMJ Interactive,JMJ Interactive,29/Nov/2018,,[67]
Akihabara Crash! 123STAGE+1,,Dorasu,24/Jan/2019,,[68]
Alchemic Dungeons DX,Q-Cumber Factory,Flyhigh Works,14/Fev/2019,,[69]
Alchemic Jousts,Lunatic Pixels,Lunatic Pixels,12/Jun/2018,,[70]
Alien Cruise,Cotton Game,Orenda,14/Mar/2019,,[71]
Alien Escape,NoFuel Games,KORION,12/Jul/2019,,[72]
All-Star Fruit Racing,3DClouds.it,PQube,21/Ago/2018,,[73]
Almightree: The Last Dreamer,Godspeed Games / Chocoarts,West Coast Software,13/Dez/2018,,[74]
Almost There: The Platformer,The Quantum Astrophysicists Guild,The Quantum Astrophysicists Guild,21/Fev/2019,,[75]
Alpha,Kaname,Kaname,19/Abr/2019,,[76]
Alteric,Sometimes You,Sometimes You,30/Mar/2018,,[77]
Alternate Jake Hunter: DAEDALUS The Awakening of Golden Jazz,Neilo,Arc System Works,23/Mai/2019,,[78]
Alvastia Chronicles,Exe Create Inc.,Kemco,14/Fev/2019,,[79]
Alwa's Awakening,Elden Pixels,Elden Pixels,27/Set/2018,,[80]
Ambition of the Slimes,Altairworks,Flyhigh Works,18/Jan/2018,,[81]
American Fugitive,Fallen Tree Games,Curve Digital,23/Mai/2019,,[82]
American Ninja Warrior: Challenge,Gaming Corps,GameMill Entertainment,19/Mar/2019,,[83]
Among the Sleep - Enhanced Edition,Krillbite Studio,Soedesco,29/Mai/2019,,[84]
Anarcute,Anarteam,Plug In Digital,30/Mai/2019,,[85]
Ancient Rush 2,Heideland GameWorks Inh.,Heideland GameWorks,01/Fev/2019,,[84]
Angels of Death,Makoto Sanada,Active Gaming Media,27/Jun/2018,,[86]
AngerForce: Reloaded for Nintendo Switch,,indienova,02/Abr/2019,,[87]
Anggelos,LookAtMyGame,Pqube,25/Abr/2019,,[88]
Anima: Gate of Memories,,BLG Publishing,29/Jun/2018,,[89]
Anima: Gate of Memories - Arcane Edition,,Badland Games,19/Jun/2018,,[90]
Anima: Gate of Memories - The Nameless Chronicles,Anima Project,Badland Games,19/Jun/2018,,[91]
Animal Fight Club,Marco Amadei,Corvostudio di Amadei Marco,26/Jul/2019,,[92]
Animal Hunter Z,,Starsign,29/Nov/2018,,[93]
Animal Rivals: Nintendo Switch Edition,Blue Sunset Games,Blue Sunset Games,18/Jul/2018,,[94]
Animal Super Squad,DoubleMoose,DoubleMoose,01/Mai/2018,,[95]
Animated Jigsaws: Beautiful Japanese Scenery,Dico / BottleCube,Rainy Frog,05/Abr/2018,,[96]
Animated Jigsaws: Japanese Women,Dico,Rainy Frog,04/Out/2018,,[97]
Animated Jigsaws: Wild Animals,Dico,Rainy Frog,03/Jan/2019,,[98]
Animus,"Troooze, INC.",Troooze,03/Jan/2019,,[99]
Ankh Guardian - Treasure of the Demon's Temple,Tom Create,Tom Create,04/Jul/2019,,[100]
Anode,Kittehface Software,Kittehface Software,17/Ago/2019,,[101]
Anodyne,Analgesic Productions,Nnooo,28/Fev/2019,,[102]
Another Lost Phone: Laura's Story,Accidental Queens / Seaven Studio,Plug In Digital,26/Abr/2018,,[103]
Another Sight,Lunar Great Wall Studios,Toplitz Productions,28/Jun/2019,,[104]
Another World,DotEmu,DotEmu,09/Jul/2018,,[105]
Antiquia Lost,Exe Create Inc.,Kemco,16/Nov/2017,,[106]
Ape Out,Gabe Cuzzillo,Devolver Digital,28/Fev/2019,,[107]
Aperion Cyberstorm,aPriori Digital,aPriori Digital,08/Fev/2018,,[108]
Apocalipsis Wormwood Edition,Punch Punk Games,Klabater,10/Jan/2019,,[109]
Apocryph: An Old-School Shooter,Bigzur Games,Bigzur Games,14/Mar/2019,,[110]
Aqua Kitty UDX,Tikipod Ltd,Tikipod,15/Fev/2018,,[111]
Aqua Moto Racing Utopia,Zordix,Bigben Interactive,27/Abr/2018,,[112]
Aqua TV,Extra Mile Studios,EM Studios,25/Out/2018,,[113]
Aragami: Shadow Edition,Lince Works,Merge Games,21/Fev/2019,CP,[114]
Arcade Classics Anniversary Collection,Konami Digital Entertainment,Konami,18/Abr/2019,,[115]
Archlion Saga,Hit-Point,Kemco,18/Jul/2019,,[116]
Arena of Valor,Tencent,Tencent Games,25/Set/2018,F2P,[117]
ARK: Survival Evolved,Studio Wildcard,Snail Games USA,30/Nov/2018,CP,[118]
Armello,League of Geeks,League of Geeks,27/Set/2018,,[119]
ARMS,Nintendo,Nintendo,16/Jun/2017,BR,[120]
Art of Balance,Shin'en Multimedia,Shin'en Multimedia,04/Out/2018,,[121]
Artifact Adventure Gaiden DX,room6,room6,06/Jun/2019,,[122]
Ascendance,Onevision Games,Onevision Games,09/Mai/2019,,[123]
Asdivine Dios,Exe Create Inc.,Kemco,04/Jul/2019,,[124]
Asdivine Hearts,Exe Create Inc.,Kemco,12/Abr/2018,,[125]
Asdivine Hearts II,Exe Create Inc.,Kemco,24/Jan/2019,,[126]
Assassin's Creed III Remastered,Ubisoft,Ubisoft,21/Mai/2019,,[127]
Assault Android Cactus+,Witch Beam Games,Witch Beam Games,08/Mar/2018,,[128]
Assault Gunners HD Edition,,"Marvelous Entertainment, USA Inc.",05/Jul/2018,,[129]
Assault On Metaltron,Blue Sunset Games,Blue Sunset Games,20/Mar/2019,,[130]
Astebreed,Edelweiss,Active Gaming Media,08/Nov/2018,,[131]
Asterix & Obelix XXL 2,Osome Studio,Microïds,29/Nov/2018,,[132]
Astro Bears,Sonka,Sonka,19/Jul/2019,,[133]
Astro Bears Party,QubicGames,Sonka,28/Set/2018,,[134]
Astro Duel Deluxe,Panic Button,Panic Button,30/Mai/2017,,[135]
At Sundown: Shots in the Dark,Mild Beast Games,Versus Evil,22/Jan/2019,,[136]
Atari Flashback Classics,Atari,Atari,13/Dez/2018,,[137]
Atelier Lydie & Suelle: The Alchemists and the Mysterious Paintings,Gust,Koei Tecmo America,27/Mar/2018,,[138]
Atelier Meruru: The Apprentice of Arland DX,Gust,Koei Tecmo America,04/Dez/2018,,[139]
Atelier Lulua: The Scion of Arland,"Koei Tecmo Games CO., LTD.",Koei Tecmo America,21/Mai/2019,,[140]
Atelier Rorona: The Alchemist of Arland DX,Gust,Koei Tecmo America,04/Dez/2018,,[141]
Atelier Totori: The Adventurer of Arland DX,Gust,Koei Tecmo America,04/Dez/2018,,[142]
Atomik: RunGunJumpGun,thirtythreegames,Gambitious,08/Fev/2018,,[143]
Atomine,Broken Arms Games Pty Ltd,MixedBag Srl,25/Mai/2018,,[144]
Attack of the Toy Tanks,Petite Games,Ratalaika Games,28/Jun/2019,,[145]
Attack on Titan 2,"Koei Tecmo Games CO., LTD.","Koei Tecmo Games CO., LTD.",20/Mar/2018,,[146]
ATV Drift & Tricks,,Microïds,22/Nov/2018,,[147]
Automachef,Team17 Digital Ltd,Team17 Digital Ltd,23/Jul/2019,,[148]
Avenger Bird,,Ultimate Games,05/Fev/2019,,[149]
AWAY: Journey to the Unexpected,AurelxJim,Plug In Digital,07/Fev/2019,,[150]
Awe,,BLG Publishing,20/Dez/2018,,[151]
Awesome Pea,Sometimes You,Sometimes You,01/Mar/2019,,[152]
Awkward,Snap Finger Click,Snap Finger Click,05/Jul/2018,,[153]
Axiom Verge,Thomas Happ Games,Thomas Happ Games LLC,05/Out/2017,,[154]
Ayakashi Koi Gikyoku: Forbidden Romance with Mysterious Spirit,Digimerce,OperaHouse Corporation,02/Ago/2018,,[155]
Azkend 2: The World Beneath,10tons Ltd,10tons,12/Jan/2018,,[156]
Azuran Tales: TRIALS,Tiny Trinket Games,Tiny Trinket Games,24/Jun/2019,,[157]
Azure Reflections,Unties,Unties,30/Ago/2018,,[158]
Azure Saga: Pathfinder DELUXE Edition,MassHive Media,Toge Productions,21/Mar/2019,,[159]
Azure Striker Gunvolt: Striker Pack,"Inti Creates CO., LTD.","Inti Creates CO., LTD.",31/Ago/2017,,[160]
Baba Is You,Hempuli,Hempuli,13/Mar/2019,,[161]
Back in 1995,Throw the warped code out,Ratalaika Games,24/Mai/2019,,[162]
Back to Bed,2Awesome Studio,Bedtime Digital Games,11/Abr/2019,,[161]
Bad Dream: Coma,Forever Entertainment,Forever Entertainment,24/Jan/2019,,[163]
Bad Dream: Fever,Forever Entertainment,Forever Entertainment,14/Mar/2019,,[164]
Bad North,Plausible Concept,Raw Fury,20/Ago/2018,,[165]
BAFL - Brakes Are For Losers,Oudidon,Plug In Digital,19/Abr/2018,,[166]
Balance Blox,EntwicklerX,EntwicklerX,24/Jan/2019,,[167]
Banner Saga 1,Stoic,Versus Evil,17/Mai/2018,,[168][169]
Banner Saga 2,Stoic,Versus Evil,07/Jun/2018,,[170][169]
Banner Saga 3,Stoic,Versus Evil,26/Jul/2018,,[171][169]
Baobabs Mausoleum Ep.1: Ovnifagos Don't Eat Flamingos,Celery Emblem,Zerouno Games,24/Mai/2018,,[172]
Baobabs Mausoleum Ep.2: 1313 Barnabas Dead End Drive,Celery Emblem,Zerouno Games,27/Jun/2019,,[173]
Bard's Gold - Nintendo Switch Edition,Pixel Lantern,Pixel Lantern,05/Mar/2019,,[174]
Bargain Hunter,Silver Cow Studio,Silver Cow Studio,15/Mar/2019,,[175]
Baseball Riot,10tons Ltd,10tons,19/Jan/2018,,[176]
Bash The Bear,FuryLion LLC,FuryLion Group,16/Jan/2019,,[177]
Basketball,,Sabec,06/Dez/2018,,[178]
Bass Pro Shops: The Strike - Championship Edition,Saber Interactive,Planet ENTMT,23/Out/2018,,[179]
Bastion,Supergiant Games,Supergiant Games,13/Set/2018,,[180]
Batman - The Telltale Series,Telltale Games,Telltale Games,14/Nov/2017,,[181]
Batman: The Enemy Within,Telltale Games,Telltale Games,02/Out/2018,,[182]
Battery Jam,Halseo,Halseo,22/Nov/2018,,[183]
Battle Chasers: Nightwar,Airship Syndicate,THQ Nordic,15/Mai/2018,,[184]
Battle Chef Brigade,Trinket Studios,Adult Swim Games,20/Nov/2017,,[185]
Battle & Crash,,Starsign,18/Jul/2019,,[186]
Battle Group 2,Bane Games,Merge Games,11/Out/2018,,[187]
Battle Princess Madelyn,Causal Bit Games Inc.,Causal Bit Games,20/Dez/2018,,[188]
Battle Supremacy,Atypical Games,Atypical Games,19/Jul/2018,,[189]
Battle Worlds: Kronos,King Art,THQ Nordic,28/Mai/2019,,[190]
Battleship,Marmalade Game Studio,Marmalade Game Studio,24/Jul/2019,,[191]
Battlezone Gold Edition,Rebellion,RebellionInteract,08/Nov/2018,,[192]
Battlloon,noname studio,Unties,28/Fev/2019,,[193]
Bayonetta,Platinum Games,Nintendo,16/Fev/2018,BR,[194]
Bayonetta 2,Platinum Games,Nintendo,16/Fev/2018,A BR,[195][196]
Beach Buggy Racing,Vector Unit,Vector Unit,14/Set/2017,,[197]
Bear With Me: The Lost Robots,Exordium Games,Modus Games,31/Jul/2019,,[198]
Beat Cop,Michael Hicks,11 bit studios,05/Mar/2019,,[199]
Beat Rush,FuryLion LLC,FuryLion Group,16/Jul/2018,,[200]
Bedtime Blues,,Forever Entertainment,17/Jan/2019,,[201]
Beekyr Reloaded,Akaoni Studio,Akaoni Studio,14/Jun/2018,,[202]
Behind The Screen,18Light,Cosen,23/Ago/2018,,[203]
Beholder: Complete Edition,Warm Lamp Games,Curve Digital,06/Dez/2018,,[204]
Beholder 2,Warm Lamp Games,Alawar Premium,15/Ago/2019,,[205]
Ben 10,,Outright Games,14/Nov/2017,,[206]
Bendy and the Ink Machine,TheMeatly Games LLC,Rooster Teeth Games,20/Nov/2018,,[207]
Beyond Enemy Lines: Covert Operations,Polygon Art,Polygon Art,23/Abr/2019,,[208]
Bibi & Tina - Adventures with Horses,,Treva Entertainment GmbH,22/Nov/2018,,[209]
Bibi Blocksberg - Big Broom Race 3,,Treva Entertainment GmbH,22/Nov/2018,,[210]
Big Bash Boom,Big Ant Studios,Big Ant Studios,13/Dez/2018,,[211]
Big Buck Hunter Arcade,Game Mechanic Studios,GameMill Entertainment,16/Out/2018,,[212]
Big Crown: Showdown,Hyper Luminal Games Ltd,Sold Out,10/Jan/2019,,[213]
Binaries,Ant Workshop,Ant Workshop,28/Set/2017,,[214]
Bingo for Nintendo Switch,Sims,Starsign,15/Mar/2018,,[215]
Bird Game +,Bryan Tabor,Ratalaika Games,03/Mai/2019,,[216]
Bit Dungeon Plus,KintoGames,Dolores Entertainment S.L.,08/Mar/2018,,[217]
Bitlogic - A Cyberpunk Arcade Adventure,OXiAB Game Studio,OXiAB Game Studio,27/Jun/2019,,[218]
Black & White Bushido,Good Catch,Good Catch,25/Out/2018,,[219]
Black Bird,Onion Games,Onion Games,18/Out/2018,,[220]
Black Hole,Dufgames,Dufgames,06/Fev/2018,,[221]
Black Paradox,Fantastico Studio,Digerati,03/Mai/2019,,[222]
Black The Fall,Sand Sailor Studio,Sand Sailor Studio,14/Dez/2017,,[223]
Blacksea Odyssey,Blacksea Odyssey,Digerati,24/Dez/2018,,[224]
Blade II - The Return Of Evil,Action Square,Action Square,19/Jun/2019,,[225]
Blades of Time,Gaijin Entertainment,Gaijin Entertainment,14/Mai/2019,,[226]
Blade Strangers,"Studio Saizensen Co., Ltd","Nicalis, Inc.",28/Ago/2018,,[227]
Blaster Master Zero,"Inti Creates CO., LTD.","Inti Creates CO., LTD.",09/Mar/2017,,[228]
Blaster Master Zero 2,"Inti Creates CO., LTD.","Inti Creates CO., LTD.",20/Mar/2019,,[229]
Blazblue Centralfiction Special Edition,"Arc System Works Co., Ltd.","Arc System Works Co., Ltd.",07/Fev/2019,,[230]
Blazblue Cross Tag Battle,"Arc System Works Co., Ltd.","Arc System Works Co., Ltd.",05/Jun/2018,,[231]
BlazeRush,,Targem Games,19/Fev/2019,,[232]
Blazing Beaks,Applava,QubicGames,10/Mai/2019,,[233]
Blazing Chrome,JoyMasher,The Arcade Crew,11/Jul/2019,,[234]
Bleed,Bootdisk Revolution,Digerati,14/Dez/2017,,[235]
Bleed 2,Bootdisk Revolution,Digerati,08/Mar/2018,,[236]
Bleep Bloop,Ludipe & Friends,Zerouno Games,31/Jan/2019,,[237]
BlobCat,BySamb,BySamb,09/Ago/2018,CP,[238]
Block-a-Pix Deluxe,Lightwood Games,Lightwood Games,21/Mar/2019,,[239]
Blood Waves,Sometimes You,Sometimes You,15/Mar/2019,,[240]
Bloodstained: Curse of the Moon,"Inti Creates CO., LTD.","Inti Creates CO., LTD.",24/Mai/2018,,[241]
Bloodstained: Ritual of the Night,ArtPlay,505 Games,25/Jun/2019,,[242]
Bloody Zombies,Paw Print Games Ltd,nDreams,23/Dez/2017,,[243]
Bloons TD 5,Ninja Kiwi Limited,Ninja Kiwi,13/Jun/2018,,[244]
Blossom Tales: The Sleeping King,Castle Pixel,FDG Entertainment,21/Dez/2017,,[245]
bloxiq,Blot Interactive,Blot Interactive,23/Ago/2018,,[246]
Blue Rider,Ravegan / Ratalaika Games,eastasiasoft,13/Dez/2018,,[247]
Bomb Chicken,Nitrome Ltd,Nitrome Ltd,12/Jul/2018,,[248]
Bomber Crew,Runner Duck,Curve Digital,10/Jul/2018,,[249]
BombFall,Tackorama Ltd,Tackorama,12/Mar/2019,,[250]
Bombfest,Sudden Event Studios,Whitethorn Digital,31/Jan/2019,,[251]
Bombing Busters,Sanuk Games,Sanuk Games,08/Out/2018,,[252]
Bombslinger,Mode4,Plug In Digital,11/Abr/2018,,[253]
Bonds of the Skies,"Hit-Point Co.,Ltd.",Kemco,14/Mar/2019,,[254]
Boom Ball: Boost Edition,Virtual Air Guitar Company,VirtualAirGuitar,11/Out/2018,,[255]
Boost Beast,Arzest,"Arc System Works Co., Ltd.",20/Jul/2017,,[256]
Boreal Blade,Frozenbyte,Frozenbyte,28/Ago/2019,,[257]
Bot Vice,DYA Games,DYA Games,11/Abr/2019,,[258]
Bouncy Bob,All Those Moments,Sonka,27/Abr/2018,,[259]
Bouncy Bullets,,Ratalaika Games,12/Jul/2019,,[260]
Bow to Blood: Last Captain Standing,Tribetoy,Tribetoy,03/Abr/2019,,[261]
Box Align,QUByte Interactive,QUByte Interactive,11/Abr/2019,,[262]
BoxBoy! + BoxGirl!,HAL Laboratory,Nintendo,26/Abr/2019,BR,[263]
Boxing Champs,Raz Games,Raz Games,20/Jun/2019,,[264]
BQM: BlockQuest Maker,Wonderland Kazakiri inc.,Wonderland Kazakiri,10/Jan/2019,,[265]
Brave Dungeon + Dark Witch Story: Combat,Inside System,Inside System,28/Set/2017,,[266]
Braveland Trilogy,Tortuga Team,Ellada Games,07/Mar/2019,,[267]
Brawl,Bloober Team,QubicGames,12/Jan/2018,,[268]
Brawlhalla,Blue Mammoth Games,Ubisoft,06/Nov/2018,F2P CP,[269]
Brawlout,Angry Mob Games,Angry Mob Games,19/Dez/2017,,[270]
Brick Breaker,Sanuk Games,Bigben Interactive,03/Jan/2019,,[271]
Bridge Constructor Portal,ClockStone,Headup Games,28/Fev/2018,,[272]
Bring Them Home,Andrey Kharchenko,Higgs Games,20/Dez/2018,,[273]
Broforce,Free Lives,Devolver Digital,06/Set/2018,,[274]
Broken Age,Double Fine Productions,Double Fine Productions,13/Set/2018,,[275]
Broken Sword 5 - The Serpent's Curse,Revolution Software,Revolution Software,21/Set/2018,,[276]
Brothers: A Tale of Two Sons,Turn Me Up Games / Fractured Byte,505 Games,28/Mai/2019,,[277]
Brunch Club,Foggy Box Games,Yogscast,29/Ago//2019,,[278]
Bubble Cats Rescue,,Cool Small Games,05/Jul/2019,,[279]
Bubble Shooter DX,EntwicklerX,EntwicklerX,10/Jan/2019,,[280]
Bubsy: Paws on Fire!,,UFO Interactive,29/Ago/2019,,[281]
Bud Spencer & Terence Hill - Slaps And Beans,,Trinity Team,24/Jul/2018,,[282]
Build a Bridge!,BoomBit Games Limited,BoomBit Games,17/Jan/2019,,[283]
Bulb Boy,Bulbware,Bulbware,06/Jul/2017,,[284]
Bullet Battle: Evolution,,TROOOZE,06/Jun/2019,,[285]
Burger Chef Tycoon,,Baltoro Games,02/Ago/2019,,[286]
Burly Men at Sea,Brain & Brain / Seaven Studio,Plug In Digital,12/Abr/2018,,[287]
Burnstar,Nerve Software,Gearbox Publishing,02/Jul/2018,,[288]
"Bury me, my Love",Pixel Hunt,Plug In Digital,10/Jan/2019,,[289]
Bus Fix 2019,Ultimate Games,Ultimate Games,03/Jul/2019,,[290]
Butcher,Transhuman Design,Crunching Koalas,28/Set/2017,,[291]
Cabela's: The Hunt - Championship Edition,Saber Interactive,Planet ENTMT,23/Out/2018,,[292]
Cadence of Hyrule,Brace Yourself Games,Nintendo,13/Jun/2019,BR,[293]
Cafeteria Nipponica,Kairosoft,Kairosoft,18/Abr/2019,,[294]
Caged Garden Cock Robin,SEEC,SEEC,25/Jul/2019,,[295]
Cake Laboratory,Square Heads Games,Grimtalin,20/Dez/2018,,[296]
Caladrius Blaze,,H2 Interactive,18/Jul/2019,,[297]
"Calculation Castle : Greco's Ghostly Challenge ""Addition""",media5 corporation.,media5,15/Mai/2018,,[298]
"Calculation Castle : Greco's Ghostly Challenge ""Division""",media5 corporation.,media5,15/Mai/2018,,[299]
"Calculation Castle : Greco's Ghostly Challenge ""Multiplication""",media5 corporation.,media5,15/Mai/2018,,[300]
"Calculation Castle : Greco's Ghostly Challenge ""Subtraction""",media5 corporation.,media5,15/Mai/2018,,[301]
Candle: The Power of the Flame,Teku Studios,Merge Games,26/Jul/2018,,[302]
Capcom Beat 'Em Up Bundle,Capcom,Capcom,18/Set/2018,,[303]
Captain Cat,,Hidden Trap,21/Jun/2019,,[304]
Captain StarONE,Marumittu,Flyhigh Works,07/Fev/2019,,[305]
Captain Toad: Treasure Tracker,Nintendo EPD,Nintendo,13/Jul/2018,A NL 04 BR,[306]
Car Mechanic Manager,InImages,Ultimate Games,07/Mai/2019,,[307]
Car Mechanic Simulator,ECC Games,ECC Games,15/Fev/2019,,[308]
Car Mayhem,,Sabec,05/Jun/2019,,[309]
Car Quest,Ezone PTY LTD,Ezone,25/Out/2018,,[310]
Car Trader,Ultimate Games,Ultimate Games,12/Mai/2019,,[311]
Carcassonne,Asmodee,Asmodee Digital,06/Dez/2018,,[312]
Carnival Games,Mass Media Games,Take 2 Interactive Software,06/Nov/2018,,[313]
Cars 3: Driven to Win,Avalanche Software,Warner Bros. Entertainment,13/Jun/2017,,[314]
Cartoon Network: Battle Crashers,Magic Pockets / Torus Games,GameMill Entertainment,31/Out/2017,,[315]
Cast of the Seven Godsends,Raven Travel Studios,Merge Games,18/Abr/2018,,[316]
Castle of Heart,7Levels,7Levels,23/Mar/2018,,[317]
CastleStorm,Zen Studios,Zen Studios,16/Ago/2018,,[318]
Castlevania Anniversary Collection,Konami Digital Entertainment,Konami,16/Mai/2019,,[319]
Cat Quest,The Gentlebros,PQube,10/Nov/2017,,[320]
Catan,Magic Pockets / Torus Games,Asmodee Digital,20/Jun/2019,,[321]
Catastronauts,Inertia Game Studios,Inertiasoft,03/Jan/2019,,[322]
Catch 'Em! Goldfish Scooping,Clouds Inc. Giga-Rensya,D3Publisher,02/Ago/2018,,[323]
Catch a Duck,All Those Moments,Ultimate Games,29/Jul/2019,,[324]
Caterpillar Royale,Starsign,Starsign,19/Fev/2019,,[325]
Cattails,Falcon Development LLC,Falcon Development,29/Nov/2018,,[326]
Cave Story+,Nicalis,"Nicalis, Inc.",20/Jun/2017,,[327]
Caveblazers,Deadpan Games,Yogscast,10/Jan/2019,,[328]
Caveman Warriors,JanduSoft S.L.,JanduSoft,05/Dez/2017,,[329]
Cel Damage HD,Finish Line Games Inc.,Finish Line Games,28/Mar/2019,,[330]
Celeste,Matt Makes Games Inc.,Matt Makes Games Inc.,25/Jan/2018,BR,[331]
Chalk Dash Carnival,SAT-BOX,SAT-BOX,14/Nov/2018,,[332]
Chameleon Run Deluxe Edition,Hyperbolic Magnetism,Cinemax,14/Jun/2018,,[333]
Chasm,,Leadman Games,11/Out/2018,,[334]
Chess Ultra,Ripstone,Ripstone,02/Nov/2017,CP,[335]
Chicken Assassin: Reloaded,OneShark,Akupara Games,19/Jul/2018,,[336]
Chicken Range,NYX Digital LTD,Funbox Media,25/Out/2018,,[337]
Chiki-Chiki Boxy Pro Wrestling,,The Pocket Company,27/Jun/2019,,[338]
Chiki-Chiki Boxy Racers,Pocket,Unties,30/Ago/2018,,[339]
Child of Light Ultimate Edition,Ubisoft Montreal,Ubisoft,11/Out/2018,,[340][341]
Chime Sharp,Chilled Mouse,Chilled Mouse,28/Mai/2019,,[342]
