Título_Título,Lançamento_Lançamento,Obs._Obs.
Brawl Brother's,05/Set/2019,
Breath of Fire,05/Set/2019,
Breath of Fire II,12/Dez/2019,
Demon's Crest,05/Set/2019,
Donkey Kong Country,15/Jul/2020,
Donkey Kong Country 2: Diddy's Kong Quest,23/Set/2020,
Donkey Kong Country 3: Dixie Kong's Double Trouble!,18/Dez/2020,
Doomsday Warrior,17/Fev/2021,
F-Zero,05/Set/2019,
Joe & Mac 2: Lost in the Tropics,05/Set/2019,
Kirby's Dream Course,05/Set/2019,
Kirby's Dream Land 3,05/Set/2019,
Kirby Super Star,12/Dez/2019,
Mario Super Picross,23/Set/2020,
Natsume Championship Wrestling,15/Jul/2020,
Operation Logic Bomb,20/Mai/2020,
Panel de Pon,20/Mai/2020,
Pop'n TwinBee,19/Fev/2020,
Pilotwings,05/Set/2019,
Prehistorik Man,17/Fev/2021,
Psycho Dream,17/Fev/2021,
Smash Tennis,19/Fev/2020,
Star Fox,05/Set/2019,
Star Fox 2,12/Dez/2019,
Stunt Race FX,05/Set/2019,
Super E.D.F. Earth Defense Force,05/Set/2019,
Super Ghouls'n Ghosts,05/Set/2019,
Super Mario All-Stars,03/Set/2020,
Super Mario Kart,05/Set/2019,
Super Mario World,05/Set/2019,
Super Mario World 2: Yoshi's Island,05/Set/2019,
Super Metroid,05/Set/2019,
Super Punch-Out!!,12/Dez/2019,
Super Puyo Puyo 2,05/Set/2019,
Super Soccer,05/Set/2019,
Super Tennis,05/Set/2019,
Super Valis IV,18/Dez/2020,
The Ignition Factor,18/Dez/2020,
The Legend of Zelda: A Link to the Past,05/Set/2019,
The Peace Keepers,23/Set/2020,
Tuff E Nuff,18/Dez/2020,
Wild Guns,20/Mai/2020,
