Título_Título,Lançamento_Lançamento,Tamanho_Tamanho,Ref._Ref.
Fatal Fury First Contact,23/Dez/2020,147 MB,[3496]
King of Fighters R-2,07/Ago/2020,91 MB,[3497]
Samurai Shodown 2!,07/Ago/2020,127 MB,[3498]
SNK Gals' Fighters,29/Abr/2020,130 MB,[3499]
SNK Vs. Capcom: The Match of the Millennium,17/Fev/2021,164 MB,[3500]
The Last Blade: Beyond the Destiny,28/Out/2020,130 MB,[3501]
