Observações
"O jogo ""8-Bit YU-NO’s Great Adventure"" foi entregue como brinde na aquisição do ""Day 1 Edition"" na pré-venda do Jogo ""YU-NO: A Girl Who Chants Love at the Bound of this World""."
"O jogo ""Dragon Ball Z Super Butoden"" foi entregue como brinde de Pré-Venda do Jogo ""Dragon Ball FighterZ""."
"Os Jogos ""Football Manager Touch 2018"" e ""Football Manager Touch 2019"" foram removidos devidos a contratos de durabilidade. [3218]"
O Jogo GetAmped Mobile	foi removido no dia 29 de Agosto de 2019 devido falta de suporte da CyberStep.[3219]
O Jogo Ittle Dew 2+ foi lançado originalmente em 14 de Novembro de 2017 e removido em 20 de Setembro de 2019 por problemas de direitos autorais entre a desenvolvedora Ludosity e a publicadora Nicalis.[3220] A Ludosity relançou o jogo no dia 19 de Março de 2020.
"O jogo ""Minecraft: Nintendo Switch Edition"" não estará mais disponível após 21 de junho de 2018 para compra no Nintendo eShop. Os proprietários existentes podem continuar a jogar e baixar novamente esta versão."
"Os jogos ""Minecraft: Story Mode - The Complete Adventure"" e ""Minecraft: Story Mode - Season Two"" foram retirados da eShop pela Microsoft em 25 de junho de 2019.[3221]"
"O jogo ""Tetris 99"" está disponível gratuitamente apenas para assinantes do Nintendo Switch Online."
